case_id,year,city,state
638,2015,MOUNTAIN VIEW, CALIFORNIA
639,2015,FOLSOM, CALIFORNIA
640,2015,HOUSTON, TEXAS
641,2015,RICHLAND, WASHINGTON
642,2015,NEW YORK, NEW YORK
643,2015,SAN JOSE, CALIFORNIA
644,2015,SAN JOSE, CALIFORNIA
645,2015,BROOKLYN, NEW YORK
646,2015,WASHINGTON, DISTRICT OF COLUMBIA
647,2015,BOSTON, MASSACHUSETTS
648,2015,STERLING, VIRGINIA
649,2015,TORRANCE, CALIFORNIA
650,2015,PLEASANTON, CALIFORNIA
651,2015,BLOOMINGTON, ILLINOIS
652,2015,CENTRAL POINT, OREGON
653,2015,HOUGHTON LAKE, MICHIGAN
654,2015,MCKEESPORT, PENNSYLVANIA
655,2015,HOUSTON, TEXAS
656,2015,MOUNTAIN VIEW, CALIFORNIA
657,2015,MORGANTOWN, WEST VIRGINIA
658,2015,REDMOND, WASHINGTON
659,2015,HOFFMAN ESTATES, ILLINOIS
660,2015,GAITHERSBURG, MARYLAND
661,2015,SEATTLE, WASHINGTON
662,2015,BOSTON, MASSACHUSETTS
663,2015,CHICAGO, ILLINOIS
664,2015,ISSAQUAH, WASHINGTON
665,2015,SCHAUMBURG, ILLINOIS
666,2015,KANSAS CITY, KANSAS
667,2015,HOUSTON, TEXAS
668,2015,COLUMBUS, INDIANA
669,2015,SAN DIEGO, CALIFORNIA
670,2015,CORVALLIS, OREGON
671,2015,ST. LOUIS, MISSOURI
672,2015,NEW YORK, NEW YORK
673,2015,SAN FRANCISCO, CALIFORNIA
674,2015,IRVING, TEXAS
675,2015,MILWAUKEE, WISCONSIN
676,2015,ATLANTA, GEORGIA
677,2015,OAK BROOK, ILLINOIS
678,2015,ANN ARBOR, MICHIGAN
679,2015,BOSTON, MASSACHUSETTS
680,2015,REDMOND, WASHINGTON
681,2015,SUNNYVALE, CALIFORNIA
682,2015,REDMOND, WASHINGTON
683,2015,MOON TOWNSHIP, PENNSYLVANIA
684,2015,CHARLOTTE, NORTH CAROLINA
685,2015,CAMPBELL, CALIFORNIA
686,2015,NEWARK, DELAWARE
687,2015,LIVINGSTON, LOUISIANA
688,2015,REDMOND, WASHINGTON
689,2015,NEW YORK, NEW YORK
690,2015,WOODCLIFF LAKE, NEW JERSEY
691,2015,CHICAGO, ILLINOIS
692,2015,WATERTOWN, MASSACHUSETTS
693,2015,NEW YORK, NEW YORK
694,2015,OMAHA, NEBRASKA
695,2015,SAN FRANCISCO, CALIFORNIA
696,2015,SEATTLE, WASHINGTON
697,2015,NEW YORK, NEW YORK
698,2015,JERSEY CITY, NEW JERSEY
699,2015,BEDFORD, MASSACHUSETTS
700,2015,REDMOND, WASHINGTON
701,2015,ALPHARETTA, GEORGIA
702,2015,CHICAGO, ILLINOIS
703,2015,RENSSELAER, NEW YORK
704,2015,BELLEVUE, WASHINGTON
705,2015,FAIRFAX, VIRGINIA
706,2015,HOLLAND, MICHIGAN
707,2015,EL PASO, TEXAS
708,2015,IRVINE, CALIFORNIA
709,2015,SAN FRANCISCO, CALIFORNIA
710,2015,GREENSBORO, NORTH CAROLINA
711,2015,INDIANAPOLIS, INDIANA
712,2015,GLEN ALLEN, VIRGINIA
713,2015,MATAWAN, NEW JERSEY
714,2015,OMAHA, NEBRASKA
715,2015,CHICAGO, ILLINOIS
716,2015,FARMINGTON, MICHIGAN
717,2015,SEATTLE, WASHINGTON
718,2015,SCOTTSDALE, ARIZONA
719,2015,MARINA DEL REY, CALIFORNIA
720,2015,HOUSTON, TEXAS
721,2015,REDMOND, WASHINGTON
722,2015,HOUSTON, TEXAS
723,2015,NEW YORK, NEW YORK
724,2015,GOLDEN VALLEY, MINNESOTA
725,2015,SAN DIEGO, CALIFORNIA
726,2015,BETHESDA, MARYLAND
727,2015,BELLEVUE, WASHINGTON
728,2015,SUNNYVALE, CALIFORNIA
729,2015,BOSTON, MASSACHUSETTS
730,2015,HOMER, MICHIGAN
731,2015,MADISON, WISCONSIN
732,2015,BOSTON, MASSACHUSETTS
733,2015,AUSTIN, TEXAS
734,2015,PHILADELPHIA, PENNSYLVANIA
735,2015,COLUMBUS, INDIANA
736,2015,LA JOLLA, CALIFORNIA
737,2015,SANTA CLARA, CALIFORNIA
738,2015,PLANO, TEXAS
739,2015,CORONA, CALIFORNIA
740,2015,ANN ARBOR, MICHIGAN
741,2015,URBANA, ILLINOIS
742,2015,CHARLOTTE, NORTH CAROLINA
743,2015,REDMOND, WASHINGTON
744,2015,DALLAS, TEXAS
745,2015,ALBUQUERQUE, NEW MEXICO
746,2015,RENO, NEVADA
747,2015,REDMOND, WASHINGTON
748,2015,OLD TAPPAN, NEW JERSEY
749,2015,HILLSBORO, OREGON
750,2015,ROCKVILLE, MARYLAND
751,2015,DOYLESTOWN, PENNSYLVANIA
752,2015,YORKTOWN HEIGHTS, NEW YORK
753,2015,PRINCETON, NEW JERSEY
754,2015,MOUNTAIN VIEW, CALIFORNIA
755,2015,COLUMBUS, INDIANA
756,2015,PRINCETON, ILLINOIS
757,2015,PHILADELPHIA, PENNSYLVANIA
758,2015,NEW YORK, NEW YORK
759,2015,BALTIMORE, MARYLAND
760,2015,CHARLOTTE, NORTH CAROLINA
761,2015,LUBBOCK, TEXAS
762,2015,INDIANAPOLIS, INDIANA
763,2015,ATHENS, GEORGIA
764,2015,JACKSON, MICHIGAN
765,2015,NEW YORK, NEW YORK
766,2015,COLUMBUS, OHIO
767,2015,WILMINGTON, DELAWARE
768,2015,PORTSMOUTH, NEW HAMPSHIRE
769,2015,TUCSON, ARIZONA
770,2015,ST. LOUIS, MISSOURI
771,2015,WASHINGTON, DISTRICT OF COLUMBIA
772,2015,RICHARDSON, TEXAS
773,2015,FORT LAUDERDALE, FLORIDA
774,2015,DOWNERS GROVE, ILLINOIS
775,2015,NEW YORK, NEW YORK
776,2015,PITTSBURGH, PENNSYLVANIA
777,2015,FOREST HILLS, NEW YORK
778,2015,NEW YORK, NEW YORK
779,2015,MEMPHIS, TENNESSEE
780,2015,ROCHESTER, NEW YORK
781,2015,NEW YORK, NEW YORK
782,2015,COLUMBUS, INDIANA
783,2015,MCLEAN, VIRGINIA
784,2015,CHICAGO, ILLINOIS
785,2015,TRACY, CALIFORNIA
786,2015,GERMANTOWN, MARYLAND
787,2015,IRVINE, CALIFORNIA
788,2015,COLUMBUS, INDIANA
789,2015,COLUMBUS, INDIANA
790,2015,WALTON, KENTUCKY
791,2015,BRIDGEWATER, NEW JERSEY
792,2015,SUNNYVALE, CALIFORNIA
793,2015,MELVILLE, NEW YORK
794,2015,LOS ANGELES, CALIFORNIA
795,2015,COLUMBUS, INDIANA
796,2015,KNOXVILLE, TENNESSEE
797,2015,COLUMBUS, INDIANA
798,2015,FRIDLEY, MINNESOTA
799,2015,SAN JOSE, CALIFORNIA
800,2015,ROUND ROCK, TEXAS
801,2015,SAN JOSE, CALIFORNIA
